"","year","geo_abb","pctl50","Income"
"1",2019,"AL",30440,"30 - 35"
"2",2019,"AK",37860,"35 - 40"
"3",2019,"AZ",34130,"30 - 35"
"4",2019,"AR",28960,"< 30"
"5",2019,"CA",40010,"40 - 45"
"6",2019,"CO",39040,"35 - 40"
"7",2019,"CT",42240,"40 - 45"
"8",2019,"DE",35090,"35 - 40"
"9",2019,"DC",56080,"> 50"
"10",2019,"FL",32420,"30 - 35"
"11",2019,"GA",32410,"30 - 35"
"12",2019,"HI",39520,"35 - 40"
"13",2019,"ID",30110,"30 - 35"
"14",2019,"IL",36880,"35 - 40"
"15",2019,"IN",33460,"30 - 35"
"16",2019,"IA",34720,"30 - 35"
"17",2019,"KS",33660,"30 - 35"
"18",2019,"KY",30700,"30 - 35"
"19",2019,"LA",30500,"30 - 35"
"20",2019,"ME",33230,"30 - 35"
"21",2019,"MD",44790,"40 - 45"
"22",2019,"MA",45160,"45 - 50"
"23",2019,"MI",33060,"30 - 35"
"24",2019,"MN",39750,"35 - 40"
"25",2019,"MS",27590,"< 30"
"26",2019,"MO",31940,"30 - 35"
"27",2019,"MT",29850,"< 30"
"28",2019,"NE",34680,"30 - 35"
"29",2019,"NV",34500,"30 - 35"
"30",2019,"NH",40040,"40 - 45"
"31",2019,"NJ",43020,"40 - 45"
"32",2019,"NM",29300,"< 30"
"33",2019,"NY",40000,"35 - 40"
"34",2019,"NC",32400,"30 - 35"
"35",2019,"ND",37220,"35 - 40"
"36",2019,"OH",33450,"30 - 35"
"37",2019,"OK",31230,"30 - 35"
"38",2019,"OR",35170,"35 - 40"
"39",2019,"PA",36030,"35 - 40"
"40",2019,"RI",38290,"35 - 40"
"41",2019,"SC",30670,"30 - 35"
"42",2019,"SD",32700,"30 - 35"
"43",2019,"TN",31580,"30 - 35"
"44",2019,"TX",35130,"35 - 40"
"45",2019,"UT",33310,"30 - 35"
"46",2019,"VT",35300,"35 - 40"
"47",2019,"VA",38910,"35 - 40"
"48",2019,"WA",42190,"40 - 45"
"49",2019,"WV",29900,"< 30"
"50",2019,"WI",35750,"35 - 40"
"51",2019,"WY",34550,"30 - 35"
